NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample1bloom 2024-07-11 11-17-27.nano,
Operator Name,kasson,
Time Captured,11:17:27  11/07/2024,
Sample Description,bloom-heat1,
Pre-treatment,,
Diluent,10x,
Remarks,,
,,
,,,,,
Filename:,sample1bloom 2024-07-11 11-17-46,sample1bloom 2024-07-11 11-18-57,sample1bloom 2024-07-11 11-20-07,sample1bloom 2024-07-11 11-21-17,sample1bloom 2024-07-11 11-22-27,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,19.800,19.862,19.892,19.924,19.957,
Viscosity/cP,1.004909,1.003383,1.002646,1.001861,1.001052,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,14,14,
Slider Shutter,1259,1259,1259,1259,1259,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,31.480000,31.480000,
Camera Histogram Upper Limit,6588,6588,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,12.0000,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,5,0,1,1,
19.5,0,0,0,145,0,29,29,
20.5,0,0,0,2033,0,407,407,
21.5,0,0,0,16225,0,3245,3245,
22.5,0,0,0,79386,0,15877,15877,
23.5,0,0,0,254560,0,50912,50912,
24.5,0,0,0,567469,0,113494,113494,
25.5,0,0,0,926646,0,185329,185329,
26.5,0,0,0,1161142,0,232228,232228,
27.5,0,0,0,1163595,0,232719,232719,
28.5,0,0,0,967442,0,193488,193488,
29.5,0,0,0,689506,2,137902,137901,
30.5,0,0,0,433628,21,86730,86725,
31.5,0,1,0,246872,165,49408,49366,
32.5,0,4,0,130127,992,26224,25976,
33.5,0,12,0,64761,4647,13884,12751,
34.5,0,38,0,30951,17141,9626,6279,
35.5,0,111,0,14412,50368,12978,9753,
36.5,0,309,0,6618,119387,25263,23565,
37.5,0,807,0,3027,231205,47008,46053,
38.5,0,1970,0,1390,370640,74800,73961,
39.5,0,4476,0,645,498364,100697,99420,
40.5,0,9434,0,303,569516,115851,113431,
41.5,0,18384,0,145,560430,115792,111216,
42.5,0,33034,0,71,481073,102836,94775,
